CTV3Codes,Description
m125.,Hydrous wool fat ointment BP
m124.,Hydrous wool fat BP
m123.,Hydrous ointment BP
x05oW,Hydromol ointment
x00Gq,Hydromol cream
x00Gi,Hospital hand cream
x05mV,Gammaderm cream
m21z.,Epaderm ointment 500g
m21y.,Epaderm ointment 125g
x03h9,Epaderm ointment
m21U.,Eumobase cream 100g
m21T.,Eumobase cream 30g
x05rX,Eumobase cream
m122.,Emulsifying ointment BP
m21A.,E45 lotion
x05Ge,Doublebase gel
m12c.,Diprobase ointment 50g
x00Wo,Diprobase ointment
m11a.,Diprobase dispenser cream 500g
m115.,Diprobase cream 50g
x00G7,Diprobase cream
m21w.,Dermidex cream
m21D.,Dermamist spray
m272.,Dermol 500 lotion
m278.,Dermol cream 500g
m277.,Dermol cream 100g
x05td,Dermol cream
m21V.,DERMASALVE body cream 100mL
m21J.,Decubal cream 50g
x03lD,Decubal Clinic cream
m228.,Morhulin ointment 350g
m227.,Morhulin ointment 50g
x00XE,Morhulin ointment
m22z.,Kamillosan ointment 100g
m22y.,Kamillosan ointment 30g
m22x.,Kamillosan ointment 50g
m221.,Kamillosan ointment 24g
x00X9,Kamillosan ointment
m22w.,Chamomile extracts 10.5% ointment
m284.,CETRABEN cream 1050g
m121.,Cetomacrogol emulsifying ointment BP
m114.,Cetomacrogol Formula B cream BP
m113.,Cetomacrogol Formula A cream BP
x00T6,Alcoderm lotion
m217.,Alcoderm lotion 120mL
x00XY,Vita-E ointment
m111.,Aqueous cream BP
m281.,ATOPICLAIR cream 40mL
m282.,ATOPICLAIR cream 100mL
x00FX,Aveeno cream
m21q.,Aveeno cream 100mL
x05ZX,Aveeno lotion
m112.,Buffered cream BP
x00Wg,Calendolon ointment
m21i.,Calendolon ointment 25g
