MedCodeID,Description
6662841000006110,Irritant contact dermatitis due to metal swarf
6662861000006114,Irritant contact dermatitis due to cement
6662871000006119,Irritant contact dermatitis caused by cement
6662881000006116,Irritant contact dermatitis of hands due to cement
6662891000006118,Irritant contact dermatitis of hands caused by cement
6662911000006116,Wear and tear dermatitis of hands
6662901000006119,Irritant contact dermatitis of hands due to friction
6662921000006112,Irritant contact dermatitis of hands caused by friction
6662931000006110,Irritant contact dermatitis due to chlorine
6662941000006117,Irritant contact dermatitis caused by chlorine
6662951000006115,Irritant contact dermatitis due to biocide
6662961000006118,Irritant contact dermatitis caused by biocide
6662971000006113,Cumulative irritant contact dermatitis of hands
6662981000006111,Cumulative irritant contact dermatitis
6663031000006119,Irritant contact dermatitis caused by contact with urine and/or feces
6663011000006113,Ammonia dermatitis
6663021000006117,Irritant contact dermatitis caused by contact with urine and/or faeces
6663001000006110,Irritant contact dermatitis due to contact with urine and/or feces
6662991000006114,Irritant contact dermatitis due to contact with urine and/or faeces
2233571000000112,Incontinence-associated dermatitis
6663041000006112,Irritant contact dermatitis due to incontinence
2233581000000114,Moisture lesion
11880261000006118,Incontinence associated dermatitis
6663081000006118,Irritant contact dermatitis due to stoma and/or fistula
6663091000006115,Irritant contact dermatitis due to stoma/fistula
6663101000006114,Irritant contact dermatitis due to ileostomy
6663111000006112,Irritant contact dermatitis due to colostomy
6663121000006116,Irritant contact dermatitis due to urostomy
6663151000006113,Irritant contact dermatitis due to dribbling and/or teething
6663161000006110,Chapping of skin due to dribbling/teething
6663231000006112,Irritant contact hand dermatitis
6663221000006114,Irritant contact hand eczema
6663251000006117,Contact dermatitis of hands
6663261000006115,Contact eczema of hands
6663241000006119,Contact hand eczema
6667391000006110,Irritant contact dermatitis due to detergent and/or wet work
6667401000006112,Irritant contact dermatitis caused by detergent and/or wet work
6667421000006119,Irritant contact dermatitis caused by plant
6667411000006110,Irritant contact dermatitis due to plant
6667431000006116,Irritant contact dermatitis due to oil and/or grease
6667441000006114,Irritant contact dermatitis caused by oil and/or grease
6667461000006113,Irritant contact dermatitis caused by wood
6667451000006111,Irritant contact dermatitis due to wood
6667471000006118,Irritant contact dermatitis due to solvent
6667481000006115,Irritant contact dermatitis caused by solvent
6667501000006113,Occupational irritant contact dermatitis
1494721011,Contact eczema
308602013,Contact dermatitis due to other specified agents
309323016,[X]Unspecified contact dermatitis due to other agents
308624013,Contact dermatitis NOS
3148031000006112,Contact eczema
63652013,Contact dermatitis
591221000006115,Contact dermatitis NOS
399912014,Contact dermatitis and other eczemas
3148021000006114,CD - Contact dermatitis
308623019,Contact dermatitis: specified agent NOS
3148011000006118,Dermatitis venenata
430281000006110,[X]Unspcfd contact dermatitis due to other chemical products
6683391000006119,Contact psychodermatitis
6711271000006116,Urine induced contact dermatitis
3155471000006113,Allergic dermatitis caused by arnica
67908018,Contact dermatitis due to arnica
3155461000006118,Contact dermatitis caused by arnica
3155451000006115,Allergic dermatitis due to arnica
6784151000006118,Contact dermatitis caused by Rhus diversiloba
6784141000006115,Contact dermatitis due to Rhus diversiloba
6784161000006116,Contact dermatitis due to Rhus quercifolia
6784171000006111,Contact dermatitis caused by Rhus quercifolia
6788851000006119,Contact dermatitis due to Genus Toxicodendron
6788861000006117,Rhus dermatitis
6788871000006112,Contact dermatitis caused by Genus Toxicodendron
6932191000006116,Allergic contact dermatitis of pinna
6945831000006116,Otitis externa due to contact allergy
6945821000006119,Allergic contact dermatitis of external auditory canal
7047201000006111,Acute irritant contact dermatitis
3188991000006118,Contact dermatitis caused by dichromate
71306016,Contact dermatitis due to dichromate
3230991000006112,Allergic contact dermatitis due to secretions
3231001000006113,Allergic contact dermatitis caused by secretions
77108018,Contact dermatitis due to rubber
3247021000006111,Contact dermatitis caused by rubber
3256431000006116,"Contact dermatitis caused by light, except sun"
590901000006110,"Contact dermatitis due to light, except sun"
3295801000006111,Contact dermatitis caused by cereal
590631000006113,Contact dermatitis due to cereal
3330101000006112,Chronic contact dermatitis
89646013,Contact dermatitis due to ragweed
3374721000006113,Allergic dermatitis caused by ragweed
3374711000006117,Contact dermatitis caused by ragweed
3374701000006115,Allergic dermatitis due to ragweed
93035017,Contact dermatitis due to flour
3408791000006115,Contact dermatitis caused by flour
2507771000006115,Contact dermatitis caused by Primula
2507791000006119,Allergic dermatitis caused by primrose
2507781000006117,Allergic dermatitis caused by Primula
2507761000006110,Allergic dermatitis due to Primula
2507751000006113,Allergic dermatitis due to primrose
2050012,Contact dermatitis due to primrose
2507801000006118,Contact dermatitis caused by primrose
2507741000006111,Contact dermatitis due to Primula
108236013,Contact dermatitis due to milk
3558991000006118,Contact dermatitis caused by milk
108646019,Contact dermatitis due to lacquer tree
3563191000006117,Allergic dermatitis due to lacquer tree
3563201000006119,Allergic dermatitis due to Rhus verniciflua
3563231000006110,Contact dermatitis caused by lacquer tree
3563241000006117,Contact dermatitis caused by Rhus verniciflua
3563181000006115,Contact dermatitis due to Rhus verniciflua
3563221000006112,Allergic dermatitis caused by Rhus verniciflua
3563211000006116,Allergic dermatitis caused by lacquer tree
112091013,Contact dermatitis due to food in contact with skin
399914010,Contact dermatitis due to food NOS
3597331000006112,Contact dermatitis caused by food in contact with skin
3617261000006117,Contact eczema eyelid
12704131000006112,Allergic dermatitis of eyelid
3617221000006111,Contact dermatitis of eyelid
223901000000111,Contact dermatitis of eyelid
3617241000006116,Allergic blepharitis
3617251000006119,Contact allergy eyelid
590711000006110,Contact dermatitis due to dye
2609851000006115,Contact dermatitis caused by dye
115978018,Contact dermatitis due to X-rays
3635391000006116,Contact dermatitis caused by X-ray
3635371000006117,Contact dermatitis due to X-ray
3638151000006115,"Allergic dermatitis caused by plants, except food"
3638101000006119,"Contact dermatitis due to plants, except food"
3638141000006117,Allergic dermatitis caused by non-food plant
3638171000006113,"Contact dermatitis caused by plants, except food"
3638111000006116,Contact dermatitis due to non-food plant
3638121000006112,Allergic dermatitis due to non-food plant
3638161000006118,Contact dermatitis caused by non-food plant
3638131000006110,"Allergic dermatitis due to plants, except food"
7533881000006112,Allergic contact dermatitis of upper eyelid
7533891000006110,Allergic contact dermatitis of lower eyelid
7728001000006119,Contact dermatitis caused by Senecio jacobea
7761541000006114,Irritant contact dermatitis of female genitalia
7761551000006111,Contact dermatitis of female genitalia
591011000006116,Contact dermatitis due to pediculicide
3672211000006110,Contact dermatitis caused by pediculicide
7858781000006110,Contact dermatitis of external ear
7861771000006110,Allergic contact dermatitis caused by hairdressing product
7861791000006111,Irritant contact dermatitis caused by cosmetic substance
7861801000006112,Occupational contact dermatitis
7862481000006112,Contact dermatitis caused by protein
7862491000006110,Protein contact dermatitis
3686151000006110,Contact dermatitis caused by meat
121124014,Contact dermatitis due to meat
